Start	Duration	Audio I/O Thread	Client Process	Input Sample Time	Input Host Time	Output Sample Time	Output Host Time	
00:05.108.899	152.08 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	115,428	6488884887375	117,476	6488886001932	
00:05.132.117	132.62 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	116,452	6488885444653	118,500	6488886559211	
00:05.155.357	156.62 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	117,476	6488886001932	119,524	6488887116489	
00:05.178.579	234.50 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	118,500	6488886559211	120,548	6488887673768	
00:05.201.802	211.83 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	119,524	6488887116489	121,572	6488888231047	
00:05.225.016	187.21 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	120,548	6488887673768	122,596	6488888788325	
00:05.248.232	223.71 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	121,572	6488888231047	123,620	6488889345604	
00:05.271.466	195.79 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	122,596	6488888788325	124,644	6488889902882	
00:05.294.692	203.71 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	123,620	6488889345604	125,668	6488890460161	
00:05.317.910	256.92 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	124,644	6488889902882	126,692	6488891017440	
00:05.341.096	97.33 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	125,668	6488890460161	127,716	6488891574718	
00:05.364.343	191.00 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	126,692	6488891017440	128,740	6488892131997	
00:05.387.548	180.54 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	127,716	6488891574718	129,764	6488892689276	
